phase,topology,ep_size,replica_count,total_gpus,variant,status,result_fidelity,ttft_ms,prefill_ms,first_decode_step_ms,steady_decode_step_p50_ms,steady_decode_step_p90_ms,steady_decode_step_p99_ms,itl_p50_ms,itl_p90_ms,itl_p99_ms,tpot_ms,decode_generation_ms,end_to_end_ms,latency_unavailable_reasons,mtp1_iteration_ms,mtp1_status,mtp1_reason,aggregate_input_tok_s,aggregate_output_tok_s,aggregate_total_tok_s,input_tok_s_per_gpu,output_tok_s_per_gpu,total_tok_s_per_gpu,weights_including_scales_gib,scales_only_gib,activations_including_workspace_gib,workspace_only_gib,memory_unavailable_reasons,kv_peak_allocated_gib,nccl_gib,other_runtime_gib,peak_hbm_gib,kv_requested_dtype,kv_resolved_dtype,kv_logical_bytes_per_gpu,kv_modeled_resident_allocated_bytes_per_gpu,kv_modeled_peak_allocated_bytes_per_gpu,kv_actual_runtime_allocated_bytes_per_gpu,kv_actual_runtime_measurement_status,kv_actual_runtime_measurement_reason,full_mfa_ms,swa_ms,dense_ms,latent_moe_ms,dispatch_ms,combine_ms,other_component_ms,component_accounted_total_ms,moe_performance_workload_distribution,expert_token_histogram,max_mean_load,padding_ratio,live_routing_status,live_routing_reason,backend_fallback,backend_fallback_reason,retry_count,error_record_count,missing_record_count,exception_log,vllm_actual_status,vllm_actual_reason,vllm_actual_latency_ms,absolute_error_ms,relative_error,prompt_tokens,context_tokens,output_tokens,selected_batch_per_replica,max_num_batched_tokens,tpot_budget_ms,b_max,aggregate_b_max,first_failed_batch,active_sequences_per_replica,batched_tokens_per_replica,engine_step_trace_location,oom,proxy_record_count,proxy_latency_ms
prefill,ep16_r1,16,1,16,mtp_off,PASS_WITH_PROXY,PROXY,,213.00583873859085,,,,,,,,,,,"{""decode_generation"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""end_to_end"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""first_decode_step"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""itl_p50"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p50"": ""Not part of a prefill-only simulation result."", ""steady_decode_step_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""tpot"": ""Not part of a prefill-only simulation result."", ""ttft"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it.""}",,DEFERRED_BY_OWNER,"The pinned Step4Pro source has no native MTP1 implementation; the task owner deferred MTP1 construction, measurement, and simulation.",2403.6899787913635,0.0,2403.6899787913635,150.23062367446022,0.0,150.23062367446022,211.06689453125,,3.65625,,"{""scales_only"": ""The current AIC weight accounting includes FP8 scales in the weight total and does not expose them separately."", ""workspace_only"": ""The current AIC activation accounting includes the MoE workspace and does not expose it separately.""}",0.15234375,0.0,3.5,218.37548828125,auto,bfloat16,132120576.0,163577856.0,163577856.0,,PENDING_EXTERNAL_VLLM,The AIC-only simulation models the pinned vLLM page allocator but cannot read live CUDA allocation counters.,7.298005007613497,13.011785869646747,0.7155608781908349,191.18204451153406,15.844371428571433,16.415999999999983,0.7984424716077378,213.00583873859287,power_law_1.2,,,,PENDING_EXTERNAL_VLLM,"Dummy-weight AIC simulation has no request-level router outputs. Histogram, load ratio, and padding require the external pinned vLLM runtime trace.",False,No automatic backend fallback exists. The DeepEP proxy is an explicitly selected simulation approximation.,0,0,0,[],PENDING_EXTERNAL_VLLM,Whole-model pinned-vLLM results are owned by the external session and were not supplied to this AIC-only run.,,,,512,,0,1,32768,,,,,1,,prefill_results[].queried_steps[],False,152,32.26037142857147
prefill,ep16_r1,16,1,16,mtp_off,PASS_WITH_PROXY,PROXY,,877.0099255509309,,,,,,,,,,,"{""decode_generation"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""end_to_end"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""first_decode_step"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""itl_p50"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p50"": ""Not part of a prefill-only simulation result."", ""steady_decode_step_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""tpot"": ""Not part of a prefill-only simulation result."", ""ttft"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it.""}",,DEFERRED_BY_OWNER,"The pinned Step4Pro source has no native MTP1 implementation; the task owner deferred MTP1 construction, measurement, and simulation.",4670.414644882068,0.0,4670.414644882068,291.9009153051293,0.0,291.9009153051293,211.06689453125,,3.65625,,"{""scales_only"": ""The current AIC weight accounting includes FP8 scales in the weight total and does not expose them separately."", ""workspace_only"": ""The current AIC activation accounting includes the MoE workspace and does not expose it separately.""}",0.15234375,0.0,3.5,218.37548828125,auto,bfloat16,132120576.0,163577856.0,163577856.0,,PENDING_EXTERNAL_VLLM,The AIC-only simulation models the pinned vLLM page allocator but cannot read live CUDA allocation counters.,7.298005007613497,13.011785869646747,0.7155608781908349,855.1861313238727,15.844371428571433,16.415999999999983,0.7984424716077378,877.0099255509315,power_law_1.2,,,,PENDING_EXTERNAL_VLLM,"Dummy-weight AIC simulation has no request-level router outputs. Histogram, load ratio, and padding require the external pinned vLLM runtime trace.",False,No automatic backend fallback exists. The DeepEP proxy is an explicitly selected simulation approximation.,0,0,0,[],PENDING_EXTERNAL_VLLM,Whole-model pinned-vLLM results are owned by the external session and were not supplied to this AIC-only run.,,,,512,,0,8,32768,,,,,8,,prefill_results[].queried_steps[],False,152,32.26037142857147
prefill,ep16_r1,16,1,16,mtp_off,PASS_WITH_PROXY,PROXY,,336.21584698016113,,,,,,,,,,,"{""decode_generation"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""end_to_end"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""first_decode_step"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""itl_p50"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p50"": ""Not part of a prefill-only simulation result."", ""steady_decode_step_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""tpot"": ""Not part of a prefill-only simulation result."", ""ttft"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it.""}",,DEFERRED_BY_OWNER,"The pinned Step4Pro source has no native MTP1 implementation; the task owner deferred MTP1 construction, measurement, and simulation.",48730.60014023301,0.0,48730.60014023301,3045.662508764563,0.0,3045.662508764563,211.06689453125,,7.3125,,"{""scales_only"": ""The current AIC weight accounting includes FP8 scales in the weight total and does not expose them separately."", ""workspace_only"": ""The current AIC activation accounting includes the MoE workspace and does not expose it separately.""}",0.3046875,0.0,3.5,222.18408203125,auto,bfloat16,264241152.0,327155712.0,327155712.0,,PENDING_EXTERNAL_VLLM,The AIC-only simulation models the pinned vLLM page allocator but cannot read live CUDA allocation counters.,12.820002822679175,24.11736797128398,1.3221166002502067,296.88125102471366,17.90370000000003,22.755214285714278,1.0751085612337241,336.21584698016073,power_law_1.2,,,,PENDING_EXTERNAL_VLLM,"Dummy-weight AIC simulation has no request-level router outputs. Histogram, load ratio, and padding require the external pinned vLLM runtime trace.",False,No automatic backend fallback exists. The DeepEP proxy is an explicitly selected simulation approximation.,0,0,0,[],PENDING_EXTERNAL_VLLM,Whole-model pinned-vLLM results are owned by the external session and were not supplied to this AIC-only run.,,,,512,,0,32,32768,,,,,32,,prefill_results[].queried_steps[],False,152,40.65891428571423
prefill,ep16_r1,16,1,16,mtp_off,PASS_WITH_PROXY,PROXY,,660.1444700488645,,,,,,,,,,,"{""decode_generation"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""end_to_end"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""first_decode_step"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""itl_p50"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p50"": ""Not part of a prefill-only simulation result."", ""steady_decode_step_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""tpot"": ""Not part of a prefill-only simulation result."", ""ttft"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it.""}",,DEFERRED_BY_OWNER,"The pinned Step4Pro source has no native MTP1 implementation; the task owner deferred MTP1 construction, measurement, and simulation.",3102.3512169213586,0.0,3102.3512169213586,193.89695105758491,0.0,193.89695105758491,211.06689453125,,14.625,,"{""scales_only"": ""The current AIC weight accounting includes FP8 scales in the weight total and does not expose them separately."", ""workspace_only"": ""The current AIC activation accounting includes the MoE workspace and does not expose it separately.""}",0.609375,0.0,3.5,229.80126953125,auto,bfloat16,163577856.0,289406976.0,654311424.0,,PENDING_EXTERNAL_VLLM,The AIC-only simulation models the pinned vLLM page allocator but cannot read live CUDA allocation counters.,25.01137184452765,44.07353509839629,3.1171811570762586,586.3022035495156,22.949421428571405,33.909299999999995,1.6401783993496755,660.1444700488655,power_law_1.2,,,,PENDING_EXTERNAL_VLLM,"Dummy-weight AIC simulation has no request-level router outputs. Histogram, load ratio, and padding require the external pinned vLLM runtime trace.",False,No automatic backend fallback exists. The DeepEP proxy is an explicitly selected simulation approximation.,0,0,0,[],PENDING_EXTERNAL_VLLM,Whole-model pinned-vLLM results are owned by the external session and were not supplied to this AIC-only run.,,,,2048,,0,1,32768,,,,,1,,prefill_results[].queried_steps[],False,152,56.858721428571364
prefill,ep16_r1,16,1,16,mtp_off,PASS_WITH_PROXY,PROXY,,337.05814726444294,,,,,,,,,,,"{""decode_generation"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""end_to_end"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""first_decode_step"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""itl_p50"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p50"": ""Not part of a prefill-only simulation result."", ""steady_decode_step_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""tpot"": ""Not part of a prefill-only simulation result."", ""ttft"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it.""}",,DEFERRED_BY_OWNER,"The pinned Step4Pro source has no native MTP1 implementation; the task owner deferred MTP1 construction, measurement, and simulation.",24304.41176540637,0.0,24304.41176540637,1519.0257353378981,0.0,1519.0257353378981,211.06689453125,,14.625,,"{""scales_only"": ""The current AIC weight accounting includes FP8 scales in the weight total and does not expose them separately."", ""workspace_only"": ""The current AIC activation accounting includes the MoE workspace and does not expose it separately.""}",0.609375,0.0,3.5,229.80126953125,auto,bfloat16,163577856.0,289406976.0,654311424.0,,PENDING_EXTERNAL_VLLM,The AIC-only simulation models the pinned vLLM page allocator but cannot read live CUDA allocation counters.,25.01137184452765,44.07353509839629,3.1171811570762586,263.21588076509477,22.949421428571405,33.909299999999995,1.6401783993496755,337.05814726444464,power_law_1.2,,,,PENDING_EXTERNAL_VLLM,"Dummy-weight AIC simulation has no request-level router outputs. Histogram, load ratio, and padding require the external pinned vLLM runtime trace.",False,No automatic backend fallback exists. The DeepEP proxy is an explicitly selected simulation approximation.,0,0,0,[],PENDING_EXTERNAL_VLLM,Whole-model pinned-vLLM results are owned by the external session and were not supplied to this AIC-only run.,,,,2048,,0,4,32768,,,,,4,,prefill_results[].queried_steps[],False,152,56.858721428571364
prefill,ep16_r1,16,1,16,mtp_off,PASS_WITH_PROXY,PROXY,,633.1229500700231,,,,,,,,,,,"{""decode_generation"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""end_to_end"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""first_decode_step"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""itl_p50"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p50"": ""Not part of a prefill-only simulation result."", ""steady_decode_step_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""tpot"": ""Not part of a prefill-only simulation result."", ""ttft"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it.""}",,DEFERRED_BY_OWNER,"The pinned Step4Pro source has no native MTP1 implementation; the task owner deferred MTP1 construction, measurement, and simulation.",51756.13993518301,0.0,51756.13993518301,3234.758745948938,0.0,3234.758745948938,211.06689453125,,14.625,,"{""scales_only"": ""The current AIC weight accounting includes FP8 scales in the weight total and does not expose them separately."", ""workspace_only"": ""The current AIC activation accounting includes the MoE workspace and does not expose it separately.""}",0.609375,0.0,3.5,229.80126953125,auto,bfloat16,163577856.0,289406976.0,654311424.0,,PENDING_EXTERNAL_VLLM,The AIC-only simulation models the pinned vLLM page allocator but cannot read live CUDA allocation counters.,25.01137184452765,44.07353509839629,3.1171811570762586,559.280683570675,22.949421428571405,33.909299999999995,1.6401783993496755,633.1229500700249,power_law_1.2,,,,PENDING_EXTERNAL_VLLM,"Dummy-weight AIC simulation has no request-level router outputs. Histogram, load ratio, and padding require the external pinned vLLM runtime trace.",False,No automatic backend fallback exists. The DeepEP proxy is an explicitly selected simulation approximation.,0,0,0,[],PENDING_EXTERNAL_VLLM,Whole-model pinned-vLLM results are owned by the external session and were not supplied to this AIC-only run.,,,,2048,,0,16,32768,,,,,16,,prefill_results[].queried_steps[],False,152,56.858721428571364
prefill,ep16_r1,16,1,16,mtp_off,OOM,PROXY,,786.9979679006053,,,,,,,,,,,"{""decode_generation"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""end_to_end"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""first_decode_step"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""itl_p50"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p50"": ""Not part of a prefill-only simulation result."", ""steady_decode_step_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""tpot"": ""Not part of a prefill-only simulation result."", ""ttft"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it.""}",,DEFERRED_BY_OWNER,"The pinned Step4Pro source has no native MTP1 implementation; the task owner deferred MTP1 construction, measurement, and simulation.",10409.175543175757,0.0,10409.175543175757,650.5734714484848,0.0,650.5734714484848,211.06689453125,,58.5,,"{""scales_only"": ""The current AIC weight accounting includes FP8 scales in the weight total and does not expose them separately."", ""workspace_only"": ""The current AIC activation accounting includes the MoE workspace and does not expose it separately.""}",2.4375,0.0,3.5,275.50439453125,auto,bfloat16,289406976.0,792723456.0,2617245696.0,,PENDING_EXTERNAL_VLLM,The AIC-only simulation models the pinned vLLM page allocator but cannot read live CUDA allocation counters.,131.0203510022934,199.94229320558983,12.644833571054598,438.3833680113538,53.87599285714295,88.28546785714268,5.00712211031742,786.997967900609,power_law_1.2,,,,PENDING_EXTERNAL_VLLM,"Dummy-weight AIC simulation has no request-level router outputs. Histogram, load ratio, and padding require the external pinned vLLM runtime trace.",False,No automatic backend fallback exists. The DeepEP proxy is an explicitly selected simulation approximation.,0,0,0,[],PENDING_EXTERNAL_VLLM,Whole-model pinned-vLLM results are owned by the external session and were not supplied to this AIC-only run.,,,,8192,,0,1,32768,,,,,1,,prefill_results[].queried_steps[],True,152,142.16146071428568
prefill,ep16_r1,16,1,16,mtp_off,OOM,PROXY,,1083.0627707061844,,,,,,,,,,,"{""decode_generation"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""end_to_end"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""first_decode_step"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""itl_p50"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p50"": ""Not part of a prefill-only simulation result."", ""steady_decode_step_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""tpot"": ""Not part of a prefill-only simulation result."", ""ttft"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it.""}",,DEFERRED_BY_OWNER,"The pinned Step4Pro source has no native MTP1 implementation; the task owner deferred MTP1 construction, measurement, and simulation.",30254.940790397985,0.0,30254.940790397985,1890.933799399874,0.0,1890.933799399874,211.06689453125,,58.5,,"{""scales_only"": ""The current AIC weight accounting includes FP8 scales in the weight total and does not expose them separately."", ""workspace_only"": ""The current AIC activation accounting includes the MoE workspace and does not expose it separately.""}",2.4375,0.0,3.5,275.50439453125,auto,bfloat16,289406976.0,792723456.0,2617245696.0,,PENDING_EXTERNAL_VLLM,The AIC-only simulation models the pinned vLLM page allocator but cannot read live CUDA allocation counters.,131.0203510022934,199.94229320558983,12.644833571054598,734.4481708169358,53.87599285714295,88.28546785714268,5.00712211031742,1083.062770706191,power_law_1.2,,,,PENDING_EXTERNAL_VLLM,"Dummy-weight AIC simulation has no request-level router outputs. Histogram, load ratio, and padding require the external pinned vLLM runtime trace.",False,No automatic backend fallback exists. The DeepEP proxy is an explicitly selected simulation approximation.,0,0,0,[],PENDING_EXTERNAL_VLLM,Whole-model pinned-vLLM results are owned by the external session and were not supplied to this AIC-only run.,,,,8192,,0,4,32768,,,,,4,,prefill_results[].queried_steps[],True,152,142.16146071428568
prefill,ep16_r1,16,1,16,mtp_off,OOM,PROXY,,1572.6252680034322,,,,,,,,,,,"{""decode_generation"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""end_to_end"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""first_decode_step"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""itl_p50"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p50"": ""Not part of a prefill-only simulation result."", ""steady_decode_step_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""tpot"": ""Not part of a prefill-only simulation result."", ""ttft"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it.""}",,DEFERRED_BY_OWNER,"The pinned Step4Pro source has no native MTP1 implementation; the task owner deferred MTP1 construction, measurement, and simulation.",41672.99186487252,0.0,41672.99186487252,2604.5619915545326,0.0,2604.5619915545326,211.06689453125,,29.25,,"{""scales_only"": ""The current AIC weight accounting includes FP8 scales in the weight total and does not expose them separately."", ""workspace_only"": ""The current AIC activation accounting includes the MoE workspace and does not expose it separately.""}",1.64453125,0.0,3.5,245.46142578125,auto,bfloat16,289406976.0,792723456.0,1765801984.0,,PENDING_EXTERNAL_VLLM,The AIC-only simulation models the pinned vLLM page allocator but cannot read live CUDA allocation counters.,126.1259118700647,203.28626466848084,11.72314339387441,1225.9649621316767,69.32828571428567,107.59075714285737,5.524985939344517,1572.625268003441,power_law_1.2,,,,PENDING_EXTERNAL_VLLM,"Dummy-weight AIC simulation has no request-level router outputs. Histogram, load ratio, and padding require the external pinned vLLM runtime trace.",False,No automatic backend fallback exists. The DeepEP proxy is an explicitly selected simulation approximation.,0,0,0,[],PENDING_EXTERNAL_VLLM,Whole-model pinned-vLLM results are owned by the external session and were not supplied to this AIC-only run.,,,,8192,,0,8,32768,,,,,8,,prefill_results[].queried_steps[],True,304,176.91904285714344
prefill,ep16_r1,16,1,16,mtp_off,OOM,PROXY,,3625.7200335731914,,,,,,,,,,,"{""decode_generation"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""end_to_end"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""first_decode_step"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it."", ""itl_p50"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""itl_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p50"": ""Not part of a prefill-only simulation result."", ""steady_decode_step_p90"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""steady_decode_step_p99"": ""Requires repeated live engine-step timing samples; deterministic AIC operation sums do not provide a latency distribution."", ""tpot"": ""Not part of a prefill-only simulation result."", ""ttft"": ""Requires a live request lifecycle and engine scheduler trace; the task-local AIC operation-sum simulation does not model it.""}",,DEFERRED_BY_OWNER,"The pinned Step4Pro source has no native MTP1 implementation; the task owner deferred MTP1 construction, measurement, and simulation.",9037.65312726221,0.0,9037.65312726221,564.8533204538882,0.0,564.8533204538882,211.06689453125,,58.5,,"{""scales_only"": ""The current AIC weight accounting includes FP8 scales in the weight total and does not expose them separately."", ""workspace_only"": ""The current AIC activation accounting includes the MoE workspace and does not expose it separately.""}",4.42578125,0.0,3.5,277.49267578125,auto,bfloat16,792723456.0,2805989376.0,4752146432.0,,PENDING_EXTERNAL_VLLM,The AIC-only simulation models the pinned vLLM page allocator but cannot read live CUDA allocation counters.,1000.9106403576457,800.6680984446641,50.57933428421839,1753.5334720454152,215.5039714285718,353.1418714285707,20.02848844126968,3625.7200335732127,power_law_1.2,,,,PENDING_EXTERNAL_VLLM,"Dummy-weight AIC simulation has no request-level router outputs. Histogram, load ratio, and padding require the external pinned vLLM runtime trace.",False,No automatic backend fallback exists. The DeepEP proxy is an explicitly selected simulation approximation.,0,0,0,[],PENDING_EXTERNAL_VLLM,Whole-model pinned-vLLM results are owned by the external session and were not supplied to this AIC-only run.,,,,32768,,0,1,8192,,,,,1,,prefill_results[].queried_steps[],True,608,568.6458428571427
